epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
116;-508.28100889573653;3178.29985211334;822.3313259954027;-577.1223768029228;1021.0924444402966;1137.900885231888;3109.036845505552
117;-537.4162476730244;3382.0612023630106;240.6683640805993;-556.7555436384572;1124.6422504189047;1111.5779473638463;3322.799983585529
118;-517.1943781056018;3355.3469299826;1094.4385790896472;-416.76407356366207;687.6905728842796;1787.8836974396552;2557.27176518989
119;-556.3963252847259;3370.2982432168465;1557.9634209129283;-478.55098186396543;1047.1069443143401;382.3348054678164;3187.067218316818
120;-487.4461021967921;3422.335133243055;1601.8280131059498;-500.595954887078;1040.1256785276328;588.4971095584712;2983.482726972435
121;-506.2549569954166;3417.4617953504303;2316.734859299278;-274.7889193570198;1086.664977461369;564.9069013807518;3025.085919170776
122;-531.452370214263;3417.557471114221;904.8281118749732;62.34569648970398;993.637369658393;2390.8555169137553;3289.55618096576
123;-502.85190652940474;3268.04365452541;1054.9432292221177;370.47107713125104;979.3343481199918;4011.341395149209;2680.545738364792
124;-500.96213278094655;3371.9753576527073;1155.520760530421;195.53239109984347;681.3579130995388;1803.3987239807884;3186.3320951270425
125;-507.9321987542897;3417.4376109052523;1921.855031000942;353.6335932229693;961.8050589839025;2872.103251654231;3023.1442208318877
126;-542.3974662747978;3383.4372491586428;1975.556079617839;135.02047721073268;934.0260451639854;3860.1976239139526;2760.2366644396443
127;-526.0039981951361;3361.497223317206;3181.9911824646956;493.55224210243676;983.1233906702035;3257.437469440845;3045.932341022778
128;-485.05725874569544;3488.444728197713;2463.8247809877753;233.95564727351302;981.3209276549971;4524.966036312208;2958.687918196465
129;-509.97085010173157;3343.435500126235;2629.6444000449546;-9.771853750077321;865.883609632604;3848.7099526127363;2920.7192222891877
130;-484.68092554733647;3472.418789670578;2677.599386172972;326.88710350181407;512.0305406335751;2062.534530442134;3183.938694474041
131;-460.82102563510426;3563.654024787672;1861.299994610632;11.788918197176118;934.0912455999539;325.4495966385217;2958.6857127234775
132;-489.00145227121914;3442.0139818842376;2707.398800620405;-98.95238313112307;855.8674934699269;1958.173101006767;3235.922622143353
133;-453.7330623456568;3780.2850717675865;2568.6106714289226;151.49783335922785;753.7610923556019;1161.7244525901983;3325.9179114566577
134;-496.63047622954747;3687.2719572149063;3358.5935723615244;373.9869460993319;962.2143090720085;-40.40461820243978;3220.1448746654332
135;-538.2077263208987;3640.3813459494836;3064.9468666059593;-12.790432447315464;945.069285229274;216.75844888619176;3734.2514007858235
136;-273.08192147205773;3627.8731873621728;3105.005239132499;433.29519865072336;871.3600137794676;890.3906676644694;3260.825867365485
137;-462.12800368253556;3672.6468606003336;3058.0118762786956;248.90345205606422;1052.0284636757215;545.8840362471676;3188.0449127530833
138;-424.8922727574726;3659.6460834478794;2460.0987722664077;29.146761679516736;811.8862235317032;304.5003470879564;3312.101857369385
139;-33.71089440123755;3889.537234692462;3021.9131707513484;316.46867609827797;924.7100642084439;1009.7355326830582;3533.411702350009
140;-369.80523201123754;3693.811376215623;1330.3526592576086;123.93938970300981;912.6024967235827;527.9367019744935;3328.8626933748883
141;-312.01520086868044;3876.9698070031927;2641.1374571094816;294.3776256125467;968.918901999701;295.2299720911601;3195.8384834803105
142;-417.5934505086966;3766.713240031717;2399.2671773945735;106.57514619787256;853.0623083744852;1749.6449576554332;2528.0381738917977
143;-417.90338926468274;3917.4509584316766;3321.2305157156165;552.6983030265103;975.8172150895706;741.485235909728;3619.516429044509
144;-227.8130566645347;3892.0048414928992;2486.4339695712306;182.10094458883447;1061.4210806013134;67.65551130061476;3436.216866882388
145;541.9587940838975;3806.999754175116;2877.9474117960963;612.9566979626177;1012.9032022984638;958.6694416304017;2650.7479938323268
146;503.5890284271365;3975.6549310010755;3042.9254473498904;431.12347673229976;798.6281675701312;1148.627156201875;3588.177627939274
147;1970.4550321323375;3891.7975155895983;3295.668301231123;290.578431759336;913.4731872976552;351.32217699465485;3837.5617451303638
148;917.7731679959628;4092.4128361102294;2466.920033850532;262.1767518639258;930.6443497400662;2525.4625783408833;3808.604017454299
149;390.6455580666217;4048.744730531575;2671.8288048114823;192.3107992999888;985.7369766599809;2416.8748872584647;3807.0624417918893
150;955.1341295646305;4081.6531586861556;3070.6170641456238;780.4755311865708;1552.4167393033088;814.3868609984956;3630.603675204767
151;2299.6108339991342;4447.887070586483;3148.919864855099;326.6901909776733;2115.8505549216507;2821.717148685998;3745.0669485839912
152;2129.668724297523;4191.70143804954;2278.19433361979;449.3890298976015;1813.838078740617;937.5968687543466;3699.5637745833214
153;2053.3267111177215;4066.3782814768165;2234.16337696977;753.1465583151587;1910.5583286055644;3013.27032967554;3458.097696345376
154;1550.1147768100593;4066.963496046194;3108.5204515254723;678.2112370944876;1842.4768335164342;2028.420663911817;3808.726495191967
155;2237.679401682877;4164.633968162368;3278.9985056182973;925.2283669570057;2021.3376507037135;2728.6883266653867;3829.4733551988343
156;1815.531519685021;4113.741589780019;2776.582657768679;813.3639253503258;2818.400021604273;1931.3229991556302;3838.9134958899754
157;3349.772190649677;4263.636213915325;2430.0908331229584;645.8097108115344;3213.9184259715794;2394.7441350863523;4155.574888887856
158;1754.0184359102834;3979.137753920362;2833.7257155620546;728.8713870742037;3191.2371864598276;4107.062489395151;4011.769533622182
159;1749.230279233842;4233.848943949959;2837.9119238453536;292.34538907334957;2885.7420181364196;3807.487450522372;4085.1496463659264
160;2872.5023916524106;4246.953579307507;3300.258133493336;629.3164163836567;2869.3233966418893;2840.509478046847;3791.0885170639426
161;3580.351751596236;4068.963675517004;2679.2269195251347;708.1987847251906;2950.4654211593643;4150.710608181897;3836.549224475203
162;3288.0415709074964;4017.0881894170307;1899.607747557082;669.4501961120358;3732.8115706945564;4192.344710633525;4015.4380906503197
163;3425.0793506854216;4200.3279394473375;3194.0752496388436;806.8659759922457;3752.409498784784;3122.0046032814707;3866.098801899495
164;2981.0630021699485;4176.020203420579;3305.229481956222;814.2840618279665;3808.3259205850763;3719.5667993114744;3868.843360860118
165;3664.8256776337175;4168.788154938481;2105.1053782402514;659.908324342407;3642.9876708575102;3223.5506003640994;4250.703533662485
166;3484.7658816291905;4220.670571907292;3349.4524313260845;987.2210874665483;3758.2548096750234;2401.3257380830814;4150.394187746048
167;3410.981292218335;4054.3064047951875;3227.905301298216;703.1019697563837;3874.132855335722;4504.389563068706;4127.494841455259
168;4189.951726420322;4260.758109483813;3411.376949919048;591.6288561916318;3835.903619234999;3577.655893369859;3915.925801136269
