epoch,critic_reduction: mean-8 - eval/reward_mean,critic_reduction: mean-4 - eval/reward_mean,critic_reduction: mean-2 - eval/reward_mean,critic_reduction: mean-1 - eval/reward_mean,critic_reduction: mean-0.5 - eval/reward_mean,critic_reduction: mean - eval/reward_mean,critic_reduction: edac-halfcheetah-full-replay-230318-212450 - eval/reward_mean
254,-603.4942509,3471.388166,2464.883213,3369.959593,3004.992859,-598.8013077,7716.485436
255,-603.2293546,3683.067981,3839.675968,2018.16161,3089.638009,-599.5442483,8137.892857
256,-602.8159365,3550.460417,3418.227983,4034.493137,2092.475229,-599.6325053,7843.982569
257,-602.2200005,3456.382485,3833.651011,2190.647592,1441.838545,-599.5667703,8099.508624
258,-603.2986423,3624.935642,3463.928704,2545.17731,1101.928257,-600.3185041,8221.224302
259,-603.7368977,3587.348479,3152.641104,3338.144794,2323.479591,-599.6896203,8250.944579
260,-603.1437922,3600.818334,1663.261106,1376.411176,2656.943501,-599.6680041,8241.913314
261,-602.915058,3774.50253,1850.365713,2682.986569,3056.513514,-599.3993203,8371.548961
262,-603.0396095,3736.574295,2575.443539,1759.47116,2134.750115,-599.101332,8297.744494
263,-603.6506612,3697.791954,4095.713807,3165.842219,2502.703967,-596.9276655,8005.389707
264,-602.9814323,3706.213361,3208.577677,2880.35547,2883.695677,-599.5112077,8139.992199
265,-603.9883365,3822.133316,3344.213188,2154.914153,1917.057205,-598.7107017,8017.610545
266,-602.6405362,3756.072517,3544.663522,3379.081693,2438.721778,-600.9972464,8281.1798
267,-602.7262685,3712.405571,3305.582349,3166.98879,2904.999402,-599.516283,8359.152718
268,-603.0071285,3778.753134,3154.592495,2846.07442,1973.241709,-599.1485838,8406.668833
269,-603.2811745,3829.026893,2944.275174,1789.702972,1836.305352,-599.6842446,8385.664625
270,-603.6390987,3860.025343,1045.14533,2500.957708,2356.495448,-599.9928666,8407.983993
271,-602.9522918,3782.178859,3720.505798,1877.994413,2063.679544,-600.0927634,8522.094384
272,-603.3431348,3855.973651,3106.238581,775.6901327,1862.065467,-600.2580571,8390.95355
273,-603.5059166,3666.409211,4029.954078,4126.557833,3483.344408,-599.6562103,7965.190507
